estrella|texto|lugar
40|Abierto durante el dia normalment con alguien como guardia. Como muchos cementerios...algunos bien limpios y otros no. Las callecitas aveces terminen en una pared pero igual dar gusto caminar y ver los nombres, años, artefactos, cruces, y plantas. Me gusta mucho caminar en este cementerio en vez de sobre mariscal lopez|recoleta
10|No se puede creer que un lugar historico y emblenatico este tan mal cuidado, mucha basura, tumbas rotas, mausoleos que se caen a pedazos, por los pasillos olor a orina, la unica parte que esta bien cuidada es el panteon militar que esta apartado.|recoleta
40|Este cementerio esta ubicado en el corazon de la ciudad de Asuncion.... con una arquitectura de hace 100 o 200 años aproximadamente... digno de ir a visitar y concocer... hay misas a las 17 hs todos los dias...|recoleta
30|La iglesia y el cementerio de antaño, recomendado solo para ir de mañana, entre las 10 y las 13 maximo.|recoleta
20|Con el correr del tiempo y el rapido crecimiento de la poblacion, el principal cementerio de Asuncion se ha vuelto demasiado pequeño. Hay muy lindos mausoleos y bovedas que valen la pena visitar pero el caos reinante y la mala organizacion hacen que el recorrido sea complicado. El mausoleo del General Alfredo Stroessner se puede ver desde la Avenida Mariscal Lopez, pero sus restos todavia estan en el Brasil.|recoleta
20|Me gusta visitar cementerios, fui con mucha ilusion a este, desde el nombre (similar al de BA) me ilusiono. La verdad muy pobre y un caos total, totalmente desorganizado y con bonitos mausoleos pero con un gran deterioro y superpuestos, sin organizacion.|recoleta
40|Cementerio con historia. Participe en el tour nocturno, muy interesante propuesta, pero deberian limitar el nro. de personas que pueden participar del mismo, ya que sino, se pierden los relatos de los actores y las personas terminan no respetando los senderos habilitados para la recorrida.|recoleta
40|Es muy parecido al de buenos Aires. Muchas bovedas imponentes, muchas historias espectrales y una hermosa arquitectura|recoleta
50|Hay que estar atentos al Tour historico que ofrece el grupo Manduara en el cementerio de la Recoleta. Se inicia a la tardecita como a las 1700 y dependiendo del numero de asistentes, que generalmente es numeroso, se entregan numeros y se accede en dos o tres grupos. Se visitan tumbas de personajes historicos que estan sepultados alli con la peculiaridad de que una persona( que no es actor profesional) representa al heroe o a la heroina. Al.mismo tiempo un relator explica aspectos resultantes de la personalidad que se reoresenta. El acceso es gratuito. Lo negativo seria que el cementerio en si esta muy descuidado con muchas tumbas profanadas lo cual es muy lugubre. Cuestion de no mirar a los costados. Algo diferente para una tarde de sabado en Asuncion...|recoleta
40|Uno de los lugares ms tradicionales en el centro de Asuncion, tiene mausoleos muy bien construidos , con mucho boato de epocas pasadas donde el lujo con marmol de Carrara, habia que demostrarlo aun despues de muertos.|recoleta
40|Es uno de los cementerios mas antiguos donde esta tambien asentada la Iglesia de la Recoleta fundado por la Orden de los Recoletos. En dicho cementerio estan sepultados muchos dignatarios y se hacen visitas guiadas|recoleta
50|El cementerio de La Recoleta es el mas tradicion de Asuncion. Es un lugar de paz y sugiero visitarlo guardando mucho respeto. Contiene mausoleos que son verdaderas obras de arte. Lastimosamente, en las ultimas decadas se dejo construir sin respetar ciertos parametros de estetica y orden. Pero igual es bonito.|recoleta
40|Un lugar donde reposan varias personalidades del pais de diferentes epocas. Un amplio lugar con diferentes estructuras de variedades estructurales diferentes. Se encuentras mausoleos importantes asi como panteones y niches de personas conocidas y famosas del pais.|recoleta
40|Existen aqui panteones y tumbas hermosos, otros feos y kitch. Muchas personalidades del quehacer cultural e historico enterradas en este cementerio. Vale la pena acoplarse a las visitas guiadas que organizan algunos historiadores.|recoleta
50|El cementerio mas renombrado del pais por sus mausoleos y su historia. Cada tanto se organizan visitas guiadas. Estas hay que aprovecharlas !!|recoleta
40|Un lugar bastante bonito que refleja los origenes de las primeras generaciones marca bastante la colonizacion alemana, ojala si visitas asuncion puedas darte el tiempo de visitar este lugar, segun me contaron los habitantes para las celebraciones importantes alli los familiares van a cenar y celebrar con sus difuntos.|recoleta
40|El Cementerio de la Recoleta es un Icono de la Ciudad de Asuncion, punto de referencia indistinguible para ubicarse en la Ciudad, en un Barrio que lleva su nombre que contiene lindas casas. Es la morada final de muchos de mis familiares, a los cuales, visito muy poco, pero cuando lo hago aprovecho para recorrer este gran laberinto de pasillos y lapidas, que en algunos casos son verdaderas edificaciones, con arquitectura marcada, y muchas veces ostensiva. El contraste entre el Rico con sus mansiones eternas de marmol y granito, y el probre con sus cajones expuestos y lapides rajadas. Un lugar de paz, para pensar y recordar, caminar y sentar, y si tenes tiempo, podes visitar grandes ilustres Paraguayos y yacen ahi.|recoleta
30|Para los que les gusta ver los cementerios emblematicos de cada ciudad o pais este lo es del Paraguay , no esta escondido esta en la mariscal Lopez asi que un taxi te lleva tranquilamente , aqui se hallan los restos y criptas de la crema paraguaya solo si tienes ese gusto , no es como el de Buenos Aires pero se deja ver tambien algo de arte .|recoleta
40|Lugar de la ultima morada de la sociedad Paraguaya, Personajes de la historia y de quienes en vida aportaron para hacer del Paraguay lo que es hoy.|recoleta
40|El cementerio de la Recoleta esta ubicado en la esquina de las Av. Choferes del Chaco y la Av. Mariscal Lopez. Es un interesante cementerio que alberga la paz eterna de personajes que moldearon y construyeron la historia politica, social y cultural del Paraguay. Cementerio con notables panteones, criptas y tumbas, se encuentran aqui en paz eterna los restos de Madame Lynch, Serafina Davalos, Higinio Morinigo, Emilio Aceval y tambien del musico Herminio Gimenez.Tiene acceso por la Av. Choferes.Averigue en turismo si ofrecen visitas guiadas para enriquecer mejor su recorrido.|recoleta
